x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-25.00000E-09,+13.80753554986E-03,+19.87448133877E-03,-10.56485762820E-03,-26.15063215490E-03,+33.59375000000E-03,-36.71875000000E-03
-24.92188E-09,+13.49372800905E-03,+19.56067379797E-03,-8.57740986976E-03,-25.73222210049E-03,+33.00781250000E-03,-34.37500000000E-03
-24.84375E-09,+12.86611292744E-03,+18.72385368915E-03,-6.48535959772E-03,-24.68619696447E-03,+31.54296875000E-03,-31.25000000000E-03
-24.76563E-09,+11.92469030502E-03,+17.25941849872E-03,-4.18410429847E-03,-23.32636428764E-03,+29.10156250000E-03,-27.53906250000E-03
-24.68750E-09,+10.66946014180E-03,+15.37657325389E-03,-1.56904145842E-03,-21.44351904280E-03,+25.97656250000E-03,-23.04687500000E-03
-24.60938E-09,+8.99581992417E-03,+13.28452298185E-03,+836.81635442E-06,-19.14226374356E-03,+22.26562500000E-03,-18.35937500000E-03
-24.53125E-09,+7.21757719293E-03,+10.77406265540E-03,+3.24267416727E-03,-16.42259838991E-03,+17.96875000000E-03,-13.18359375000E-03
-24.45313E-09,+5.54393697530E-03,+7.94979478815E-03,+5.54392946651E-03,-13.07531795464E-03,+13.47656250000E-03,-7.61718750000E-03
-24.37500E-09,+3.34728418966E-03,+4.81171938009E-03,+7.74058225215E-03,-9.41422997857E-03,+8.10546875000E-03,-1.75781250000E-03
-24.29688E-09,+1.35983643122E-03,+1.67364397203E-03,+9.93723503780E-03,-5.85774451611E-03,+3.02734375000E-03,+4.00390625000E-03
-24.21875E-09,-836.81635442E-06,-1.56903394964E-03,+12.13388782344E-03,-2.40586156724E-03,-2.44140625000E-03,+9.66796875000E-03
-24.14063E-09,-3.13807165367E-03,-5.02091689850E-03,+14.12133558188E-03,+1.67363646324E-03,-8.20312500000E-03,+15.72265625000E-03
-24.06250E-09,-5.43932695291E-03,-8.36819733377E-03,+15.79497579951E-03,+5.64853198011E-03,-13.86718750000E-03,+21.38671875000E-03
-23.98438E-09,-8.05438979296E-03,-11.29706771462E-03,+17.25941098994E-03,+9.62342749699E-03,-19.43359375000E-03,+26.85546875000E-03
-23.90625E-09,-10.46024760581E-03,-14.01673306827E-03,+18.30543612596E-03,+13.07531044586E-03,-24.51171875000E-03,+31.34765625000E-03
-23.82813E-09,-12.55229787785E-03,-16.63179590832E-03,+18.93305120757E-03,+16.00418082671E-03,-29.19921875000E-03,+34.86328125000E-03
