x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-25.00000E-09,+732.22134961E-06,+24.16318439646E-03,-836.82386321E-06,-46.33891728008E-03,+24.80468750000E-03,-47.26562500000E-03
-24.92188E-09,-418.40630001E-06,+24.79079947807E-03,-313.81129520E-06,-44.97908460326E-03,+24.31640625000E-03,-45.31250000000E-03
-24.84375E-09,-1.56903394964E-03,+24.68619696447E-03,+418.40630001E-06,-42.57322679041E-03,+23.04687500000E-03,-42.18750000000E-03
-24.76563E-09,-2.61505908566E-03,+23.74477434205E-03,+1.15062389523E-03,-39.12134384154E-03,+21.09375000000E-03,-37.98828125000E-03
-24.68750E-09,-3.87028924888E-03,+21.96653161081E-03,+1.88284149044E-03,-34.30962821585E-03,+18.06640625000E-03,-32.51953125000E-03
-24.60938E-09,-5.02091689850E-03,+19.66527631157E-03,+2.71966159926E-03,-28.97490002215E-03,+14.55078125000E-03,-26.26953125000E-03
-24.53125E-09,-6.06694203452E-03,+16.63180341711E-03,+3.55648170807E-03,-23.22176177404E-03,+10.54687500000E-03,-19.72656250000E-03
-24.45313E-09,-6.90376214334E-03,+13.38912549545E-03,+4.28869930329E-03,-16.73640593072E-03,+6.44531250000E-03,-12.50000000000E-03
-24.37500E-09,-7.74058225215E-03,+9.51883249218E-03,+4.81171187130E-03,-9.83264003298E-03,+1.75781250000E-03,-5.07812500000E-03
-24.29688E-09,-8.47279984737E-03,+5.75314200250E-03,+5.43932695291E-03,-2.82427162165E-03,-2.73437500000E-03,+2.53906250000E-03
-24.21875E-09,-9.10041492898E-03,+1.88284899923E-03,+5.64853198011E-03,+4.18409678969E-03,-7.22656250000E-03,+9.76562500000E-03
-24.14063E-09,-9.51882498339E-03,-2.09204651765E-03,+5.85773700732E-03,+11.61087525543E-03,-11.62109375000E-03,+17.38281250000E-03
-24.06250E-09,-9.72803001059E-03,-6.27614706173E-03,+5.96233952092E-03,+18.30543612596E-03,-16.01562500000E-03,+24.21875000000E-03
-23.98438E-09,-9.72803001059E-03,-10.14644006500E-03,+5.85773700732E-03,+24.79079196928E-03,-19.92187500000E-03,+30.56640625000E-03
-23.90625E-09,-9.41422246979E-03,-13.80752804107E-03,+5.85773700732E-03,+29.91631513578E-03,-23.24218750000E-03,+35.74218750000E-03
-23.82813E-09,-8.89120990178E-03,-17.46861601714E-03,+5.75313449372E-03,+34.30962070706E-03,-26.36718750000E-03,+40.03906250000E-03
-23.75000E-09,-8.26359482016E-03,-20.60669142520E-03,+5.54392946651E-03,+37.97070868313E-03,-28.90625000000E-03,+43.45703125000E-03
-23.67188E-09,-7.53137722495E-03,-23.53556180606E-03,+5.43932695291E-03,+40.69037403678E-03,-31.15234375000E-03,+46.09375000000E-03
-23.59375E-09,-6.69455711613E-03,-25.94141961890E-03,+5.23012192571E-03,+42.36401425442E-03,-32.71484375000E-03,+47.55859375000E-03
-23.51563E-09,-5.64853198011E-03,-27.71966235014E-03,+4.91631438490E-03,+43.09623184963E-03,-33.39843750000E-03,+47.94921875000E-03
-23.43750E-09,-4.60250684409E-03,-29.07949502696E-03,+4.49790433049E-03,+42.99162933603E-03,-33.69140625000E-03,+47.46093750000E-03
-23.35938E-09,-3.45187919447E-03,-29.81171262218E-03,+3.97489176248E-03,+41.94560420001E-03,-33.30078125000E-03,+45.89843750000E-03
-23.28125E-09,-2.30125154485E-03,-29.60250759497E-03,+3.34727668087E-03,+39.74895141437E-03,-31.93359375000E-03,+43.06640625000E-03
-23.20313E-09,-1.04602138163E-03,-28.76568748616E-03,+2.61505908566E-03,+36.82008103351E-03,-29.88281250000E-03,+39.35546875000E-03
