x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-25.00000E-09,+7.63598724734E-03,+19.14226374356E-03,-3.45188670326E-03,-22.17573663802E-03,+26.75781250000E-03,-25.68359375000E-03
-24.92188E-09,+8.99581992417E-03,+19.03766122996E-03,-2.40586156724E-03,-23.53556931484E-03,+28.02734375000E-03,-25.97656250000E-03
-24.84375E-09,+9.83264003298E-03,+18.30544363474E-03,-1.25523391762E-03,-24.58159445086E-03,+28.12500000000E-03,-25.87890625000E-03
-24.76563E-09,+10.46025511459E-03,+16.84100844432E-03,-209.20878160E-06,-24.89540199167E-03,+27.24609375000E-03,-25.19531250000E-03
-24.68750E-09,+10.87866516900E-03,+14.85356068588E-03,+1.25522640883E-03,-24.58159445086E-03,+25.68359375000E-03,-23.33984375000E-03
-24.60938E-09,+10.98326768260E-03,+12.44770287303E-03,+2.61505908566E-03,-23.64017182845E-03,+23.33984375000E-03,-21.09375000000E-03
-24.53125E-09,+10.87866516900E-03,+9.41422997857E-03,+3.97489176248E-03,-22.07113412442E-03,+20.21484375000E-03,-18.16406250000E-03
-24.45313E-09,+10.56485762820E-03,+6.27615457051E-03,+5.02091689850E-03,-19.97908385238E-03,+16.79687500000E-03,-15.03906250000E-03
-24.37500E-09,+9.83264003298E-03,+2.82427162165E-03,+6.06694203452E-03,-17.46862352593E-03,+12.59765625000E-03,-11.42578125000E-03
-24.29688E-09,+8.78661489696E-03,-209.20127281E-06,+7.00836465694E-03,-14.85356068588E-03,+8.49609375000E-03,-7.91015625000E-03
-24.21875E-09,+7.21757719293E-03,-3.24267416727E-03,+7.74058225215E-03,-12.02929281862E-03,+3.90625000000E-03,-4.29687500000E-03
-24.14063E-09,+5.54393697530E-03,-6.27614706173E-03,+8.47279984737E-03,-8.68201238336E-03,-781.25000000E-06,-292.96875000E-06
-24.06250E-09,+3.87029675767E-03,-9.41422246979E-03,+9.10041492898E-03,-5.02092440729E-03,-5.56640625000E-03,+4.00390625000E-03
-23.98438E-09,+1.88284899923E-03,-12.02928530984E-03,+9.51882498339E-03,-941.42637681E-06,-10.15625000000E-03,+8.49609375000E-03
-23.90625E-09,+3.75439E-09,-14.22593809548E-03,+9.93723503780E-03,+2.51045657205E-03,-14.25781250000E-03,+12.40234375000E-03
-23.82813E-09,-1.88284149044E-03,-16.42259088112E-03,+10.14644006500E-03,+5.75313449372E-03,-18.35937500000E-03,+15.82031250000E-03
-23.75000E-09,-3.55648170807E-03,-18.30543612596E-03,+10.04183755140E-03,+8.89120990178E-03,-21.87500000000E-03,+18.84765625000E-03
-23.67188E-09,-5.43932695291E-03,-19.97907634359E-03,+9.72803001059E-03,+11.61087525543E-03,-25.48828125000E-03,+21.28906250000E-03
-23.59375E-09,-7.32217219775E-03,-21.33890902041E-03,+9.20501744258E-03,+14.12133558188E-03,-28.71093750000E-03,+23.24218750000E-03
-23.51563E-09,-8.99581241538E-03,-22.38493415643E-03,+8.47279984737E-03,+16.10878334031E-03,-31.44531250000E-03,+24.51171875000E-03
-23.43750E-09,-10.35564509220E-03,-23.11715175165E-03,+7.53137722495E-03,+18.20083361235E-03,-33.49609375000E-03,+25.68359375000E-03
-23.35938E-09,-11.50627274183E-03,-23.22175426525E-03,+6.69455711613E-03,+19.66526880278E-03,-34.76562500000E-03,+26.26953125000E-03
-23.28125E-09,-12.55229787785E-03,-22.69874169724E-03,+5.54392946651E-03,+20.71129393880E-03,-35.25390625000E-03,+26.17187500000E-03
-23.20313E-09,-13.49372050026E-03,-21.54811404762E-03,+4.07949427608E-03,+20.92049896601E-03,-35.05859375000E-03,+24.90234375000E-03
-23.12500E-09,-14.22593809548E-03,-19.76987131638E-03,+2.71966159926E-03,+20.71129393880E-03,-34.08203125000E-03,+23.33984375000E-03
-23.04688E-09,-14.53974563628E-03,-17.46861601714E-03,+1.46443143603E-03,+19.76987131638E-03,-32.03125000000E-03,+21.19140625000E-03
-22.96875E-09,-14.53974563628E-03,-14.64434814989E-03,+418.40630001E-06,+18.41003863956E-03,-29.19921875000E-03,+18.75000000000E-03
-22.89063E-09,-14.01673306827E-03,-11.82008028263E-03,-732.22134961E-06,+16.63179590832E-03,-25.87890625000E-03,+15.82031250000E-03
-22.81250E-09,-13.17991295946E-03,-8.57740236097E-03,-1.67364397203E-03,+14.64434814989E-03,-21.77734375000E-03,+12.89062500000E-03
-22.73438E-09,-12.13388782344E-03,-4.91631438490E-03,-2.71966910805E-03,+11.82008028263E-03,-17.08984375000E-03,+9.08203125000E-03
-22.65625E-09,-10.87865766021E-03,-1.35982892243E-03,-3.66109173046E-03,+8.57740236097E-03,-12.30468750000E-03,+4.88281250000E-03
-22.57813E-09,-9.20501744258E-03,+1.88284899923E-03,-4.39330932568E-03,+4.91631438490E-03,-7.32421875000E-03,+488.28125000E-06
-22.50000E-09,-7.42677471135E-03,+4.60251435288E-03,-5.02092440729E-03,+1.56903394964E-03,-2.83203125000E-03,-3.51562500000E-03
-22.42188E-09,-5.43932695291E-03,+7.21757719293E-03,-5.43933446170E-03,-1.67364397203E-03,+1.75781250000E-03,-7.12890625000E-03
