x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-25.00000E-09,+28.97490002215E-03,+6.17155205691E-03,+7.32217219775E-03,-7.53138473374E-03,+35.05859375000E-03,-292.96875000E-06
-24.92188E-09,+31.27615532139E-03,+6.48535959772E-03,+13.07531044586E-03,-6.48535959772E-03,+37.69531250000E-03,+6.54296875000E-03
-24.84375E-09,+32.53138548462E-03,+6.58996211132E-03,+18.20083361235E-03,-5.12552692089E-03,+39.06250000000E-03,+12.98828125000E-03
-24.76563E-09,+33.05439805263E-03,+6.58996211132E-03,+22.80334421084E-03,-3.66109173046E-03,+39.55078125000E-03,+19.14062500000E-03
-24.68750E-09,+32.74059051182E-03,+6.27615457051E-03,+27.09204726852E-03,-2.19665654004E-03,+38.96484375000E-03,+24.80468750000E-03
-24.60938E-09,+31.58996286220E-03,+5.85774451611E-03,+30.96234027180E-03,-732.22134961E-06,+37.40234375000E-03,+30.17578125000E-03
-24.53125E-09,+29.70711761736E-03,+5.02092440729E-03,+33.99581316626E-03,+627.61132722E-06,+34.66796875000E-03,+34.57031250000E-03
-24.45313E-09,+26.98745226371E-03,+4.07950178487E-03,+36.19246595190E-03,+1.77823897684E-03,+31.05468750000E-03,+37.89062500000E-03
-24.37500E-09,+23.43096680124E-03,+2.92887413525E-03,+37.76150365593E-03,+2.92886662646E-03,+26.26953125000E-03,+40.62500000000E-03
-24.29688E-09,+19.24686625716E-03,+1.77824648563E-03,+38.49372125114E-03,+3.87028924888E-03,+20.99609375000E-03,+42.28515625000E-03
-24.21875E-09,+14.64435565867E-03,+627.61883601E-06,+38.28451622394E-03,+4.70710935770E-03,+15.23437500000E-03,+42.96875000000E-03
-24.14063E-09,+9.62343500578E-03,-418.40630001E-06,+37.23849108792E-03,+5.43932695291E-03,+9.17968750000E-03,+42.67578125000E-03
-24.06250E-09,+4.28870681208E-03,-1.35982892243E-03,+35.46024835669E-03,+6.06694203452E-03,+2.83203125000E-03,+41.50390625000E-03
-23.98438E-09,-1.15062389523E-03,-2.40585405845E-03,+32.74058300303E-03,+6.38074957533E-03,-3.61328125000E-03,+39.06250000000E-03
-23.90625E-09,-6.69455711613E-03,-3.24267416727E-03,+29.18409754057E-03,+6.48535208893E-03,-9.96093750000E-03,+35.64453125000E-03
-23.82813E-09,-12.02928530984E-03,-4.07949427608E-03,+24.99999699649E-03,+6.38074957533E-03,-16.11328125000E-03,+31.34765625000E-03
-23.75000E-09,-17.15480847633E-03,-5.23012192571E-03,+20.18828137079E-03,+6.17154454812E-03,-22.46093750000E-03,+26.26953125000E-03
-23.67188E-09,-21.96652410203E-03,-6.38074957533E-03,+14.85355317709E-03,+5.75313449372E-03,-28.41796875000E-03,+20.60546875000E-03
-23.59375E-09,-25.94141961890E-03,-7.32217219775E-03,+9.30961995619E-03,+5.33472443931E-03,-33.30078125000E-03,+14.55078125000E-03
-23.51563E-09,-29.39330256777E-03,-8.36819733377E-03,+3.66108422168E-03,+4.70710935770E-03,-37.79296875000E-03,+8.30078125000E-03
-23.43750E-09,-32.32217294862E-03,-9.10041492898E-03,-1.98745151283E-03,+3.76568673528E-03,-41.50390625000E-03,+1.75781250000E-03
-23.35938E-09,-34.51882573427E-03,-9.62342749699E-03,-7.42678222014E-03,+2.61505908566E-03,-44.23828125000E-03,-4.88281250000E-03
-23.28125E-09,-36.08786343830E-03,-9.93723503780E-03,-12.34310035943E-03,+1.46443143603E-03,-46.09375000000E-03,-10.93750000000E-03
-23.20313E-09,-36.92468354711E-03,-9.93723503780E-03,-16.94561095792E-03,-3.75439E-09,-46.87500000000E-03,-16.99218750000E-03
-23.12500E-09,-37.02928606072E-03,-9.72803001059E-03,-21.02510898840E-03,-1.46443894482E-03,-46.77734375000E-03,-22.55859375000E-03
-23.04688E-09,-36.19246595190E-03,-9.20501744258E-03,-24.79079947807E-03,-2.82427162165E-03,-45.41015625000E-03,-27.63671875000E-03
-22.96875E-09,-34.62342824787E-03,-8.47279984737E-03,-27.82427237253E-03,-4.28870681208E-03,-43.16406250000E-03,-32.12890625000E-03
-22.89063E-09,-32.21757043502E-03,-7.42677471135E-03,-30.43933521258E-03,-5.54393697530E-03,-39.64843750000E-03,-36.03515625000E-03
-22.81250E-09,-28.97489251336E-03,-6.38074957533E-03,-32.32218045741E-03,-6.79916713852E-03,-35.44921875000E-03,-39.16015625000E-03
-22.73438E-09,-24.99999699649E-03,-5.12551941210E-03,-33.57741062064E-03,-7.84519227454E-03,-30.17578125000E-03,-41.50390625000E-03
-22.65625E-09,-20.60669142520E-03,-3.97489176248E-03,-33.78661564784E-03,-8.57740986976E-03,-24.60937500000E-03,-42.38281250000E-03
-22.57813E-09,-15.37656574510E-03,-2.82426411286E-03,-33.15900056623E-03,-9.30962746497E-03,-18.26171875000E-03,-42.48046875000E-03
-22.50000E-09,-9.83263252420E-03,-1.77823897684E-03,-31.69456537580E-03,-9.72803751938E-03,-11.62109375000E-03,-41.50390625000E-03
-22.42188E-09,-4.07949427609E-03,-941.41886802E-06,-29.28870756296E-03,-10.04184506019E-03,-5.07812500000E-03,-39.35546875000E-03
-22.34375E-09,+1.46443894482E-03,+3.75439E-09,-26.15063215490E-03,-10.25105008739E-03,+1.36718750000E-03,-36.42578125000E-03
-22.26563E-09,+6.69456462492E-03,+941.42637681E-06,-22.38494166522E-03,-10.35565260099E-03,+7.61718750000E-03,-32.81250000000E-03
-22.18750E-09,+11.61088276421E-03,+1.88284899923E-03,-17.88703358034E-03,-10.14644757379E-03,+13.47656250000E-03,-28.12500000000E-03
-22.10938E-09,+16.10879084910E-03,+2.92887413525E-03,-12.86611292744E-03,-9.93724254658E-03,+18.94531250000E-03,-22.85156250000E-03
-22.03125E-09,+20.18828887958E-03,+3.87029675767E-03,-7.63598724734E-03,-9.51883249218E-03,+24.02343750000E-03,-17.18750000000E-03
-21.95313E-09,+23.84937685565E-03,+4.91632189369E-03,-2.19665654004E-03,-8.99581992417E-03,+28.71093750000E-03,-11.23046875000E-03
-21.87500E-09,+27.19665729091E-03,+5.75314200250E-03,+3.55648170807E-03,-8.26360232895E-03,+32.91015625000E-03,-4.78515625000E-03
-21.79688E-09,+29.91632264457E-03,+6.27615457051E-03,+9.30961995618E-03,-7.21757719293E-03,+36.13281250000E-03,+2.05078125000E-03
-21.71875E-09,+31.79916788940E-03,+6.58996211132E-03,+14.95815569069E-03,-5.96234702971E-03,+38.37890625000E-03,+8.98437500000E-03
-21.64063E-09,+32.84519302542E-03,+6.69456462492E-03,+19.97907634359E-03,-4.70711686648E-03,+39.45312500000E-03,+15.23437500000E-03
-21.56250E-09,+33.05439805263E-03,+6.48535959772E-03,+24.47698442847E-03,-3.13807916245E-03,+39.45312500000E-03,+21.28906250000E-03
-21.48438E-09,+32.53138548462E-03,+6.06694954331E-03,+28.76568748616E-03,-1.67364397203E-03,+38.57421875000E-03,+27.05078125000E-03
-21.40625E-09,+31.06695029419E-03,+5.54393697530E-03,+32.11296792142E-03,-313.81129520E-06,+36.52343750000E-03,+31.73828125000E-03
-21.32813E-09,+28.76569499495E-03,+4.70711686648E-03,+34.83263327507E-03,+1.04602138163E-03,+33.39843750000E-03,+35.83984375000E-03
-21.25000E-09,+25.73222210049E-03,+3.76569424407E-03,+36.82008103351E-03,+2.19664903125E-03,+29.49218750000E-03,+38.96484375000E-03
-21.17188E-09,+21.96653161082E-03,+2.51046408084E-03,+38.07531119673E-03,+3.34727668087E-03,+24.41406250000E-03,+41.40625000000E-03
-21.09375E-09,+17.57322603953E-03,+1.35983643122E-03,+38.49372125114E-03,+4.28869930329E-03,+18.84765625000E-03,+42.77343750000E-03
-21.01563E-09,+12.86611292744E-03,+209.20878160E-06,+38.07531119674E-03,+5.02091689850E-03,+12.98828125000E-03,+43.06640625000E-03
-20.93750E-09,+7.63598724734E-03,-836.81635442E-06,+36.71547851991E-03,+5.75313449372E-03,+6.73828125000E-03,+42.38281250000E-03
-20.85938E-09,+2.30125905364E-03,-1.77823897684E-03,+34.51882573427E-03,+6.17154454812E-03,+488.28125000E-06,+40.62500000000E-03
-20.78125E-09,-3.13807165366E-03,-2.61505908566E-03,+31.48535283981E-03,+6.48535208893E-03,-5.76171875000E-03,+37.89062500000E-03
-20.70313E-09,-8.57740236097E-03,-3.55648170807E-03,+27.71966235014E-03,+6.48535208893E-03,-12.20703125000E-03,+34.17968750000E-03
-20.62500E-09,-14.01673306827E-03,-4.49790433049E-03,+23.22175426525E-03,+6.27614706173E-03,-18.55468750000E-03,+29.49218750000E-03
-20.54688E-09,-18.93305120757E-03,-5.64853198011E-03,+18.20083361236E-03,+6.06694203452E-03,-24.60937500000E-03,+24.21875000000E-03
-20.46875E-09,-23.43095929245E-03,-6.69455711613E-03,+12.86610541866E-03,+5.64853198011E-03,-30.17578125000E-03,+18.45703125000E-03
-20.39063E-09,-27.30125229573E-03,-7.63597973855E-03,+7.42677471135E-03,+5.12551941210E-03,-34.96093750000E-03,+12.50000000000E-03
