x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-25.00000E-09,+22.80335171963E-03,+10.35565260099E-03,+1.35982892243E-03,-10.04184506019E-03,+33.10546875000E-03,-8.69140625000E-03
-24.92188E-09,+24.26778691006E-03,+11.40167773701E-03,+6.38074957533E-03,-8.68201238336E-03,+35.64453125000E-03,-2.34375000000E-03
-24.84375E-09,+24.89540199167E-03,+11.92469030502E-03,+11.29706771462E-03,-7.21757719293E-03,+36.81640625000E-03,+4.00390625000E-03
-24.76563E-09,+25.00000450527E-03,+12.02929281862E-03,+16.00418082671E-03,-5.43933446170E-03,+37.01171875000E-03,+10.54687500000E-03
-24.68750E-09,+24.26778691006E-03,+11.82008779142E-03,+20.50208891160E-03,-3.34728418966E-03,+36.03515625000E-03,+17.08984375000E-03
-24.60938E-09,+22.90795423323E-03,+11.19247270981E-03,+24.58158694208E-03,-1.35983643122E-03,+34.08203125000E-03,+23.14453125000E-03
-24.53125E-09,+20.92050647479E-03,+10.25105008739E-03,+28.34727743175E-03,+732.21384082E-06,+31.15234375000E-03,+29.00390625000E-03
-24.45313E-09,+18.30544363474E-03,+8.99581992417E-03,+31.38075032621E-03,+2.71966159926E-03,+27.24609375000E-03,+34.08203125000E-03
-24.37500E-09,+15.27197074029E-03,+7.53138473374E-03,+33.89121065265E-03,+4.39330181689E-03,+22.75390625000E-03,+38.28125000000E-03
-24.29688E-09,+11.92469030502E-03,+5.96234702971E-03,+35.56485087029E-03,+5.96233952092E-03,+17.87109375000E-03,+41.50390625000E-03
-24.21875E-09,+8.36820484255E-03,+4.28870681208E-03,+36.29706846550E-03,+7.32217219775E-03,+12.59765625000E-03,+43.55468750000E-03
-24.14063E-09,+4.49791183928E-03,+2.71966910805E-03,+36.19246595190E-03,+8.26359482016E-03,+7.12890625000E-03,+44.43359375000E-03
-24.06250E-09,+209.20878160E-06,+1.15063140402E-03,+35.25104332948E-03,+8.99581241538E-03,+1.26953125000E-03,+44.23828125000E-03
-23.98438E-09,-3.87028924888E-03,-418.40630001E-06,+33.26359557104E-03,+9.51882498339E-03,-4.29687500000E-03,+42.77343750000E-03
-23.90625E-09,-7.94978727936E-03,-2.19664903125E-03,+30.64853273099E-03,+9.72803001059E-03,-10.15625000000E-03,+40.33203125000E-03
-23.82813E-09,-11.92468279623E-03,-4.07949427608E-03,+27.30125229573E-03,+9.62342749699E-03,-16.01562500000E-03,+36.91406250000E-03
-23.75000E-09,-15.48116825870E-03,-5.96233952092E-03,+23.32635677885E-03,+9.10041492898E-03,-21.48437500000E-03,+32.42187500000E-03
-23.67188E-09,-18.93305120757E-03,-8.15899230656E-03,+18.82844869397E-03,+8.57740236097E-03,-27.14843750000E-03,+27.34375000000E-03
-23.59375E-09,-21.86192158842E-03,-10.14644006500E-03,+14.12133558188E-03,+7.94978727936E-03,-32.03125000000E-03,+22.07031250000E-03
-23.51563E-09,-24.26777940127E-03,-12.02928530984E-03,+9.20501744258E-03,+7.21756968414E-03,-36.32812500000E-03,+16.40625000000E-03
-23.43750E-09,-26.25522715971E-03,-13.49372050026E-03,+3.76568673528E-03,+6.27614706173E-03,-39.84375000000E-03,+9.96093750000E-03
-23.35938E-09,-27.82426486374E-03,-14.53974563628E-03,-1.15063140402E-03,+5.12551941210E-03,-42.38281250000E-03,+3.90625000000E-03
-23.28125E-09,-28.66108497255E-03,-15.27196323150E-03,-6.17155205691E-03,+3.66108422168E-03,-43.94531250000E-03,-2.53906250000E-03
