x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.00000E-09,+14.01673682267E-03,+8.57740611536E-03,-62.25941609591E-03,-50.25104753440E-03,+22.55859375000E-03,-112.59765625000E-03
-4.98438E-09,+13.01255269209E-03,+8.28451907728E-03,-61.96652905783E-03,-50.00000150176E-03,+21.28906250000E-03,-112.01171875000E-03
-4.96875E-09,+12.00836856151E-03,+8.03347304463E-03,-61.63180101430E-03,-49.70711446367E-03,+20.01953125000E-03,-111.42578125000E-03
-4.95313E-09,+10.96234342549E-03,+7.74058600655E-03,-61.21339095989E-03,-49.33054541470E-03,+18.65234375000E-03,-110.54687500000E-03
-4.93750E-09,+9.95815929491E-03,+7.44769896846E-03,-60.75313990004E-03,-48.95397636574E-03,+17.38281250000E-03,-109.76562500000E-03
-4.92188E-09,+8.91213415889E-03,+7.15481193038E-03,-60.20920682931E-03,-48.49372530589E-03,+16.01562500000E-03,-108.78906250000E-03
-4.90625E-09,+7.86610902287E-03,+6.86192489229E-03,-59.62343275314E-03,-47.99163324060E-03,+14.64843750000E-03,-107.61718750000E-03
-4.89063E-09,+6.82008388685E-03,+6.56903785421E-03,-58.99581767153E-03,-47.40585916443E-03,+13.37890625000E-03,-106.44531250000E-03
-4.87500E-09,+5.81589975627E-03,+6.27615081612E-03,-58.28452057904E-03,-46.82008508826E-03,+12.01171875000E-03,-105.17578125000E-03
-4.85938E-09,+4.76987462025E-03,+5.98326377803E-03,-57.53138248110E-03,-46.15062900120E-03,+10.74218750000E-03,-103.71093750000E-03
-4.84375E-09,+3.76569048967E-03,+5.64853573451E-03,-56.69456237229E-03,-45.43933190871E-03,+9.37500000000E-03,-102.14843750000E-03
-4.82813E-09,+2.71966535365E-03,+5.31380769098E-03,-55.85774226347E-03,-44.68619381078E-03,+8.00781250000E-03,-100.58593750000E-03
-4.81250E-09,+1.75732222851E-03,+4.97907964746E-03,-54.89539913833E-03,-43.89121470740E-03,+6.64062500000E-03,-98.82812500000E-03
-4.79688E-09,+753.13809793E-06,+4.64435160393E-03,-53.89121500775E-03,-43.05439459858E-03,+5.37109375000E-03,-96.97265625000E-03
-4.78125E-09,-209.20502720E-06,+4.30962356040E-03,-52.84518987173E-03,-42.17573348433E-03,+4.00390625000E-03,-95.11718750000E-03
-4.76562E-09,-1.17154815234E-03,+3.93305451144E-03,-51.71548272483E-03,-41.29707237007E-03,+2.73437500000E-03,-93.06640625000E-03
-4.75000E-09,-2.13389127748E-03,+3.55648546247E-03,-50.54393457249E-03,-40.37657025037E-03,+1.36718750000E-03,-91.01562500000E-03
-4.73437E-09,-3.13807540806E-03,+3.17991641350E-03,-49.28870440926E-03,-39.41422712523E-03,-0.0E+00,-88.76953125000E-03
-4.71875E-09,-4.10041853320E-03,+2.76150635909E-03,-47.99163324060E-03,-38.45188400010E-03,-1.36718750000E-03,-86.52343750000E-03
-4.70312E-09,-5.10460266378E-03,+2.34309630468E-03,-46.65272106649E-03,-37.44769986952E-03,-2.83203125000E-03,-84.17968750000E-03
-4.68750E-09,-6.10878679436E-03,+1.96652725572E-03,-45.27196788695E-03,-36.44351573894E-03,-4.19921875000E-03,-81.73828125000E-03
-4.67187E-09,-7.15481193038E-03,+1.50627619587E-03,-43.84937370196E-03,-35.35564959748E-03,-5.66406250000E-03,-79.29687500000E-03
-4.65625E-09,-8.20083706640E-03,+1.08786614146E-03,-42.38493851153E-03,-34.30962446146E-03,-7.12890625000E-03,-76.75781250000E-03
-4.64062E-09,-9.28870320786E-03,+627.61508161E-06,-40.92050332110E-03,-33.17991731456E-03,-8.69140625000E-03,-74.12109375000E-03
-4.62500E-09,-10.33472834388E-03,+209.20502720E-06,-39.41422712523E-03,-32.05021016765E-03,-10.15625000000E-03,-71.48437500000E-03
-4.60937E-09,-11.42259448534E-03,-251.04603265E-06,-37.90795092937E-03,-30.83682100987E-03,-11.71875000000E-03,-68.75000000000E-03
-4.59375E-09,-12.51046062680E-03,-753.13809793E-06,-36.35983372806E-03,-29.62343185209E-03,-13.28125000000E-03,-66.01562500000E-03
-4.57812E-09,-13.55648576282E-03,-1.25523016322E-03,-34.81171652675E-03,-28.41004269430E-03,-14.84375000000E-03,-63.28125000000E-03
-4.56250E-09,-14.64435190428E-03,-1.75732222851E-03,-33.22175832000E-03,-27.11297152564E-03,-16.40625000000E-03,-60.35156250000E-03
-4.54687E-09,-15.73221804574E-03,-2.25941429380E-03,-31.58995910780E-03,-25.81590035697E-03,-18.06640625000E-03,-57.42187500000E-03
-4.53125E-09,-16.77824318176E-03,-2.80334736453E-03,-29.91631889017E-03,-24.47698818287E-03,-19.62890625000E-03,-54.39453125000E-03
-4.51562E-09,-17.82426831778E-03,-3.34728043526E-03,-28.15899666166E-03,-23.09623500332E-03,-21.19140625000E-03,-51.26953125000E-03
