x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.02000E-09,+22.69958227174E-03,+5.58493740624E-03,+19.95481231483E-03,+3.29707122874E-03,+28.26406250000E-03,+23.23125000000E-03
-5.00438E-09,+21.27698808676E-03,+5.96150645521E-03,+19.36903823866E-03,+3.92468631035E-03,+27.20937500000E-03,+23.27031250000E-03
-4.98875E-09,+19.85439390177E-03,+6.33807550417E-03,+18.75313863857E-03,+4.55230139196E-03,+26.18281250000E-03,+23.28125000000E-03
-4.97313E-09,+18.43179971678E-03,+6.68451902922E-03,+18.12552355696E-03,+5.17991647357E-03,+25.11093750000E-03,+23.28125000000E-03
-4.95750E-09,+16.97908000788E-03,+7.01924707275E-03,+17.49790847534E-03,+5.80753155518E-03,+23.98906250000E-03,+23.28125000000E-03
-4.94188E-09,+15.51464481745E-03,+7.35397511628E-03,+16.84016786981E-03,+6.43514663680E-03,+22.85625000000E-03,+23.25312500000E-03
-4.92625E-09,+14.05020962702E-03,+7.65857763588E-03,+16.17071178276E-03,+7.03263619449E-03,+21.69531250000E-03,+23.18593750000E-03
-4.91063E-09,+12.58577443659E-03,+7.98159019789E-03,+15.50125569571E-03,+7.64853579458E-03,+20.55156250000E-03,+23.13593750000E-03
-4.89500E-09,+11.15146477008E-03,+8.28619271750E-03,+14.83179960866E-03,+8.24602535227E-03,+19.41875000000E-03,+23.06875000000E-03
-4.87938E-09,+9.69874506118E-03,+8.60920527950E-03,+14.16234352160E-03,+8.86192495236E-03,+18.28593750000E-03,+23.01875000000E-03
-4.86375E-09,+8.26443539467E-03,+8.91380779911E-03,+13.49288743455E-03,+9.45941451006E-03,+17.15312500000E-03,+22.92343750000E-03
-4.84813E-09,+6.81171568576E-03,+9.17656931328E-03,+12.82343134750E-03,+10.04518858623E-03,+15.96406250000E-03,+22.83437500000E-03
-4.83250E-09,+5.37740601925E-03,+9.45774086984E-03,+12.15397526044E-03,+10.60083713848E-03,+14.80937500000E-03,+22.72812500000E-03
-4.81688E-09,+3.92468631035E-03,+9.75062790792E-03,+11.45439364947E-03,+11.17489573313E-03,+13.64843750000E-03,+22.61093750000E-03
-4.80125E-09,+2.49037664384E-03,+10.01338942209E-03,+10.77322208090E-03,+11.73054428538E-03,+12.47656250000E-03,+22.49375000000E-03
-4.78562E-09,+1.03765693493E-03,+10.29456097865E-03,+10.07364046993E-03,+12.30460288003E-03,+11.30468750000E-03,+22.34843750000E-03
-4.77000E-09,-396.65273158E-06,+10.55732249282E-03,+9.39246890135E-03,+12.83012590837E-03,+10.13281250000E-03,+22.19218750000E-03
-4.75437E-09,-1.84937244048E-03,+10.80836852547E-03,+8.69288729038E-03,+13.36234349757E-03,+8.93281250000E-03,+22.03593750000E-03
-4.73875E-09,-3.34393315483E-03,+11.05941455811E-03,+7.95146467397E-03,+13.87615104439E-03,+7.69375000000E-03,+21.79531250000E-03
-4.72312E-09,-4.82008382678E-03,+11.31046059076E-03,+7.22845209995E-03,+14.34811758576E-03,+6.47187500000E-03,+21.55000000000E-03
-4.70750E-09,-6.28451901721E-03,+11.56150662340E-03,+6.51715500746E-03,+14.80836864561E-03,+5.26093750000E-03,+21.31562500000E-03
-4.69187E-09,-7.77907973155E-03,+11.78242713213E-03,+5.77573239105E-03,+15.23849418154E-03,+3.99375000000E-03,+20.99687500000E-03
-4.67625E-09,-9.28535592742E-03,+12.02175768325E-03,+5.02259429311E-03,+15.65690423595E-03,+2.73281250000E-03,+20.64531250000E-03
-4.66062E-09,-10.79163212329E-03,+12.24267819198E-03,+4.26945619518E-03,+16.04518876644E-03,+1.42656250000E-03,+20.29375000000E-03
-4.64500E-09,-12.32803384308E-03,+12.48200874310E-03,+3.54644362116E-03,+16.39163229149E-03,+126.56250000E-06,+19.91406250000E-03
-4.62937E-09,-13.84602552047E-03,+12.70292925183E-03,+2.80502100475E-03,+16.72636033501E-03,-1.16250000000E-03,+19.52343750000E-03
-4.61375E-09,-15.38242724026E-03,+12.91213427903E-03,+2.08200843073E-03,+17.03096285462E-03,-2.47968750000E-03,+19.10468750000E-03
-4.59812E-09,-16.93054444157E-03,+13.12133930624E-03,+1.37071133824E-03,+17.29372436879E-03,-3.83593750000E-03,+18.64687500000E-03
-4.58250E-09,-18.44853611896E-03,+13.33054433344E-03,+659.41424575E-06,+17.54477040144E-03,-5.14687500000E-03,+18.17812500000E-03
-4.56687E-09,-19.95481231483E-03,+13.53974936064E-03,-82.00837066E-06,+17.76569091016E-03,-6.43593750000E-03,+17.65312500000E-03
-4.55125E-09,-21.46108851070E-03,+13.74895438785E-03,-805.02094468E-06,+17.94477041345E-03,-7.72500000000E-03,+17.10625000000E-03
