x-axis,MATH2
second,Volt
-5.000000000000e-009,-1.00000e-002
-4.984375000000e-009,-9.64844e-003
-4.968750000000e-009,-9.29687e-003
-4.953125000000e-009,-8.98437e-003
-4.937500000000e-009,-8.59375e-003
-4.921875000000e-009,-8.20312e-003
-4.906250000000e-009,-7.81250e-003
-4.890625000000e-009,-7.42187e-003
-4.875000000000e-009,-7.03125e-003
-4.859375000000e-009,-6.64062e-003
-4.843750000000e-009,-6.25000e-003
-4.828125000000e-009,-5.82031e-003
-4.812500000000e-009,-5.39062e-003
-4.796875000000e-009,-4.96094e-003
-4.781250000000e-009,-4.57031e-003
-4.765625000000e-009,-4.10156e-003
-4.750000000000e-009,-3.71094e-003
-4.734375000000e-009,-3.24219e-003
-4.718750000000e-009,-2.81250e-003
-4.703125000000e-009,-2.34375e-003
-4.687500000000e-009,-1.87500e-003
-4.671875000000e-009,-1.40625e-003
-4.656250000000e-009,-9.37500e-004
-4.640625000000e-009,-4.68750e-004
-4.625000000000e-009, 3.90625e-005
-4.609375000000e-009, 5.07812e-004
-4.593750000000e-009, 1.01562e-003
-4.578125000000e-009, 1.52344e-003
-4.562500000000e-009, 1.99219e-003
-4.546875000000e-009, 2.53906e-003
-4.531250000000e-009, 3.04687e-003
-4.515625000000e-009, 3.51562e-003
-4.500000000000e-009, 4.02344e-003
-4.484375000000e-009, 4.53125e-003
-4.468750000000e-009, 5.03906e-003
-4.453125000000e-009, 5.50781e-003
-4.437500000000e-009, 5.97656e-003
-4.421875000000e-009, 6.44531e-003
-4.406250000000e-009, 6.91406e-003
-4.390625000000e-009, 7.38281e-003
-4.375000000000e-009, 7.81250e-003
-4.359375000000e-009, 8.24219e-003
-4.343750000000e-009, 8.67188e-003
-4.328125000000e-009, 9.06250e-003
-4.312500000000e-009, 9.45312e-003
-4.296875000000e-009, 9.80469e-003
-4.281250000000e-009, 1.01562e-002
-4.265625000000e-009, 1.04687e-002
-4.250000000000e-009, 1.07812e-002
-4.234375000000e-009, 1.10937e-002
-4.218750000000e-009, 1.13281e-002
-4.203125000000e-009, 1.16016e-002
-4.187500000000e-009, 1.18750e-002
-4.171875000000e-009, 1.20703e-002
-4.156250000000e-009, 1.23047e-002
-4.140625000000e-009, 1.25000e-002
-4.125000000000e-009, 1.26953e-002
-4.109375000000e-009, 1.28906e-002
-4.093750000000e-009, 1.30469e-002
-4.078125000000e-009, 1.32422e-002
-4.062500000000e-009, 1.33594e-002
-4.046875000000e-009, 1.34766e-002
-4.031250000000e-009, 1.36328e-002
-4.015625000000e-009, 1.37109e-002
-4.000000000000e-009, 1.38281e-002
-3.984375000000e-009, 1.39062e-002
-3.968750000000e-009, 1.39844e-002
-3.953125000000e-009, 1.40234e-002
-3.937500000000e-009, 1.40234e-002
-3.921875000000e-009, 1.40234e-002
-3.906250000000e-009, 1.40234e-002
-3.890625000000e-009, 1.40234e-002
-3.875000000000e-009, 1.39844e-002
-3.859375000000e-009, 1.39062e-002
-3.843750000000e-009, 1.38281e-002
-3.828125000000e-009, 1.37500e-002
-3.812500000000e-009, 1.36719e-002
-3.796875000000e-009, 1.35547e-002
-3.781250000000e-009, 1.33984e-002
-3.765625000000e-009, 1.32812e-002
-3.750000000000e-009, 1.31250e-002
-3.734375000000e-009, 1.30078e-002
-3.718750000000e-009, 1.28125e-002
-3.703125000000e-009, 1.26953e-002
-3.687500000000e-009, 1.25000e-002
-3.671875000000e-009, 1.23828e-002
-3.656250000000e-009, 1.21875e-002
-3.640625000000e-009, 1.20703e-002
-3.625000000000e-009, 1.18750e-002
-3.609375000000e-009, 1.16797e-002
-3.593750000000e-009, 1.15234e-002
-3.578125000000e-009, 1.13672e-002
-3.562500000000e-009, 1.12109e-002
-3.546875000000e-009, 1.10156e-002
-3.531250000000e-009, 1.08203e-002
-3.515625000000e-009, 1.06250e-002
-3.500000000000e-009, 1.04297e-002
-3.484375000000e-009, 1.01953e-002
-3.468750000000e-009, 9.96094e-003
-3.453125000000e-009, 9.76563e-003
-3.437500000000e-009, 9.49219e-003
-3.421875000000e-009, 9.21875e-003
-3.406250000000e-009, 8.94531e-003
-3.390625000000e-009, 8.63281e-003
