x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.00000E-09,+2.28033479652E-03,+29.20502179768E-03,-3.49372395431E-03,-17.28033524705E-03,+31.48437500000E-03,-20.78125000000E-03
-4.98438E-09,+2.00836826116E-03,+29.93723939289E-03,-3.26359842438E-03,-17.30125574977E-03,+31.91406250000E-03,-20.56640625000E-03
-4.96875E-09,+1.75732222851E-03,+30.62761598267E-03,-3.01255239174E-03,-17.32217625249E-03,+32.38281250000E-03,-20.35156250000E-03
-4.95313E-09,+1.50627619587E-03,+31.27615156700E-03,-2.74058585637E-03,-17.34309675521E-03,+32.77343750000E-03,-20.09765625000E-03
-4.93750E-09,+1.25523016322E-03,+31.90376664861E-03,-2.44769881829E-03,-17.34309675521E-03,+33.12500000000E-03,-19.80468750000E-03
-4.92188E-09,+1.02510463330E-03,+32.51046122750E-03,-2.13389127748E-03,-17.34309675521E-03,+33.51562500000E-03,-19.49218750000E-03
-4.90625E-09,+794.97910338E-06,+33.07531480095E-03,-1.79916323395E-03,-17.32217625249E-03,+33.86718750000E-03,-19.14062500000E-03
-4.89063E-09,+564.85357345E-06,+33.61924787168E-03,-1.46443519043E-03,-17.28033524705E-03,+34.17968750000E-03,-18.75000000000E-03
-4.87500E-09,+355.64854625E-06,+34.14226043969E-03,-1.12970714690E-03,-17.21757373889E-03,+34.49218750000E-03,-18.35937500000E-03
-4.85938E-09,+146.44351904E-06,+34.64435250498E-03,-774.05860065E-06,-17.15481223073E-03,+34.76562500000E-03,-17.92968750000E-03
-4.84375E-09,-62.76150816E-06,+35.10460356483E-03,-439.33055713E-06,-17.07113021985E-03,+35.03906250000E-03,-17.51953125000E-03
-4.82813E-09,-271.96653537E-06,+35.54393412196E-03,-104.60251360E-06,-16.94560720352E-03,+35.23437500000E-03,-17.05078125000E-03
-4.81250E-09,-460.25105985E-06,+35.94142367365E-03,+230.12552992E-06,-16.82008418720E-03,+35.46875000000E-03,-16.60156250000E-03
-4.79688E-09,-648.53558433E-06,+36.33891322534E-03,+543.93307073E-06,-16.67364066816E-03,+35.66406250000E-03,-16.13281250000E-03
-4.78125E-09,-857.74061154E-06,+36.69456177158E-03,+836.82010882E-06,-16.48535614368E-03,+35.82031250000E-03,-15.66406250000E-03
-4.76562E-09,-1.04602513602E-03,+37.02928981511E-03,+1.12970714690E-03,-16.27615111647E-03,+35.97656250000E-03,-15.15625000000E-03
-4.75000E-09,-1.25523016322E-03,+37.32217685319E-03,+1.38075317955E-03,-16.06694608927E-03,+36.05468750000E-03,-14.68750000000E-03
-4.73437E-09,-1.46443519043E-03,+37.59414338856E-03,+1.63179921219E-03,-15.81590005662E-03,+36.09375000000E-03,-14.19921875000E-03
-4.71875E-09,-1.67364021763E-03,+37.84518942120E-03,+1.86192474212E-03,-15.56485402398E-03,+36.13281250000E-03,-13.71093750000E-03
-4.70312E-09,-1.90376574756E-03,+38.05439444841E-03,+2.07112976932E-03,-15.27196698589E-03,+36.13281250000E-03,-13.20312500000E-03
-4.68750E-09,-2.15481178020E-03,+38.24267897289E-03,+2.25941429380E-03,-15.00000045053E-03,+36.05468750000E-03,-12.75390625000E-03
-4.67187E-09,-2.40585781285E-03,+38.38912249194E-03,+2.44769881829E-03,-14.68619290972E-03,+35.97656250000E-03,-12.24609375000E-03
