x-axis,MATH2
second,Volt
-5.000000000000e-009,-2.07812e-002
-4.984375000000e-009,-2.05664e-002
-4.968750000000e-009,-2.03516e-002
-4.953125000000e-009,-2.00977e-002
-4.937500000000e-009,-1.98047e-002
-4.921875000000e-009,-1.94922e-002
-4.906250000000e-009,-1.91406e-002
-4.890625000000e-009,-1.87500e-002
-4.875000000000e-009,-1.83594e-002
-4.859375000000e-009,-1.79297e-002
-4.843750000000e-009,-1.75195e-002
-4.828125000000e-009,-1.70508e-002
-4.812500000000e-009,-1.66016e-002
-4.796875000000e-009,-1.61328e-002
-4.781250000000e-009,-1.56641e-002
-4.765625000000e-009,-1.51562e-002
-4.750000000000e-009,-1.46875e-002
-4.734375000000e-009,-1.41992e-002
-4.718750000000e-009,-1.37109e-002
-4.703125000000e-009,-1.32031e-002
-4.687500000000e-009,-1.27539e-002
-4.671875000000e-009,-1.22461e-002
-4.656250000000e-009,-1.17578e-002
-4.640625000000e-009,-1.13086e-002
-4.625000000000e-009,-1.08398e-002
-4.609375000000e-009,-1.03906e-002
-4.593750000000e-009,-9.92187e-003
-4.578125000000e-009,-9.45312e-003
-4.562500000000e-009,-9.00391e-003
-4.546875000000e-009,-8.51563e-003
-4.531250000000e-009,-8.04687e-003
-4.515625000000e-009,-7.53906e-003
-4.500000000000e-009,-7.03125e-003
-4.484375000000e-009,-6.52344e-003
-4.468750000000e-009,-5.95703e-003
-4.453125000000e-009,-5.41016e-003
-4.437500000000e-009,-4.82422e-003
-4.421875000000e-009,-4.21875e-003
-4.406250000000e-009,-3.59375e-003
-4.390625000000e-009,-2.96875e-003
-4.375000000000e-009,-2.30469e-003
-4.359375000000e-009,-1.66016e-003
-4.343750000000e-009,-9.96094e-004
-4.328125000000e-009,-3.32031e-004
-4.312500000000e-009, 3.32031e-004
-4.296875000000e-009, 9.76563e-004
-4.281250000000e-009, 1.62109e-003
-4.265625000000e-009, 2.24609e-003
-4.250000000000e-009, 2.85156e-003
-4.234375000000e-009, 3.43750e-003
-4.218750000000e-009, 4.02344e-003
-4.203125000000e-009, 4.58984e-003
-4.187500000000e-009, 5.13672e-003
-4.171875000000e-009, 5.70312e-003
-4.156250000000e-009, 6.23047e-003
-4.140625000000e-009, 6.73828e-003
-4.125000000000e-009, 7.22656e-003
-4.109375000000e-009, 7.75391e-003
-4.093750000000e-009, 8.26172e-003
-4.078125000000e-009, 8.73047e-003
-4.062500000000e-009, 9.23828e-003
-4.046875000000e-009, 9.72656e-003
-4.031250000000e-009, 1.01953e-002
-4.015625000000e-009, 1.06836e-002
-4.000000000000e-009, 1.11523e-002
-3.984375000000e-009, 1.16602e-002
-3.968750000000e-009, 1.21484e-002
-3.953125000000e-009, 1.26563e-002
-3.937500000000e-009, 1.31250e-002
-3.921875000000e-009, 1.36328e-002
-3.906250000000e-009, 1.41406e-002
-3.890625000000e-009, 1.46289e-002
-3.875000000000e-009, 1.51172e-002
-3.859375000000e-009, 1.56250e-002
-3.843750000000e-009, 1.60937e-002
-3.828125000000e-009, 1.65820e-002
-3.812500000000e-009, 1.70313e-002
-3.796875000000e-009, 1.74609e-002
-3.781250000000e-009, 1.78711e-002
-3.765625000000e-009, 1.82812e-002
-3.750000000000e-009, 1.86328e-002
-3.734375000000e-009, 1.89648e-002
-3.718750000000e-009, 1.92578e-002
-3.703125000000e-009, 1.95117e-002
-3.687500000000e-009, 1.97461e-002
-3.671875000000e-009, 1.99219e-002
-3.656250000000e-009, 2.00781e-002
-3.640625000000e-009, 2.01953e-002
-3.625000000000e-009, 2.02539e-002
-3.609375000000e-009, 2.03320e-002
-3.593750000000e-009, 2.03125e-002
-3.578125000000e-009, 2.02734e-002
-3.562500000000e-009, 2.02344e-002
-3.546875000000e-009, 2.01367e-002
-3.531250000000e-009, 2.00195e-002
-3.515625000000e-009, 1.98633e-002
-3.500000000000e-009, 1.97266e-002
-3.484375000000e-009, 1.95508e-002
-3.468750000000e-009, 1.93359e-002
-3.453125000000e-009, 1.91602e-002
-3.437500000000e-009, 1.89062e-002
-3.421875000000e-009, 1.86719e-002
-3.406250000000e-009, 1.84180e-002
-3.390625000000e-009, 1.81641e-002
-3.375000000000e-009, 1.78711e-002
-3.359375000000e-009, 1.75781e-002
-3.343750000000e-009, 1.73047e-002
-3.328125000000e-009, 1.69922e-002
