x-axis,MATH1
second,Volt
-5.000000000000e-009, 2.75000e-002
-4.984375000000e-009, 2.64453e-002
-4.968750000000e-009, 2.53906e-002
-4.953125000000e-009, 2.42969e-002
-4.937500000000e-009, 2.32031e-002
-4.921875000000e-009, 2.20703e-002
-4.906250000000e-009, 2.09375e-002
-4.890625000000e-009, 1.97656e-002
-4.875000000000e-009, 1.85937e-002
-4.859375000000e-009, 1.74219e-002
-4.843750000000e-009, 1.62109e-002
-4.828125000000e-009, 1.50000e-002
-4.812500000000e-009, 1.37891e-002
-4.796875000000e-009, 1.25391e-002
-4.781250000000e-009, 1.12891e-002
-4.765625000000e-009, 1.00391e-002
-4.750000000000e-009, 8.71094e-003
-4.734375000000e-009, 7.42187e-003
-4.718750000000e-009, 6.09375e-003
-4.703125000000e-009, 4.76563e-003
-4.687500000000e-009, 3.43750e-003
-4.671875000000e-009, 2.07031e-003
-4.656250000000e-009, 7.03125e-004
-4.640625000000e-009,-6.64063e-004
-4.625000000000e-009,-1.99219e-003
-4.609375000000e-009,-3.35937e-003
-4.593750000000e-009,-4.72656e-003
-4.578125000000e-009,-6.05469e-003
-4.562500000000e-009,-7.42187e-003
-4.546875000000e-009,-8.71094e-003
-4.531250000000e-009,-1.00391e-002
-4.515625000000e-009,-1.13672e-002
-4.500000000000e-009,-1.26563e-002
-4.484375000000e-009,-1.39844e-002
-4.468750000000e-009,-1.52734e-002
-4.453125000000e-009,-1.66406e-002
-4.437500000000e-009,-1.79297e-002
-4.421875000000e-009,-1.92188e-002
-4.406250000000e-009,-2.04687e-002
-4.390625000000e-009,-2.17187e-002
-4.375000000000e-009,-2.30078e-002
-4.359375000000e-009,-2.41797e-002
-4.343750000000e-009,-2.53906e-002
-4.328125000000e-009,-2.65234e-002
-4.312500000000e-009,-2.76172e-002
-4.296875000000e-009,-2.87109e-002
-4.281250000000e-009,-2.98047e-002
-4.265625000000e-009,-3.08203e-002
-4.250000000000e-009,-3.18359e-002
-4.234375000000e-009,-3.28125e-002
-4.218750000000e-009,-3.37500e-002
-4.203125000000e-009,-3.46875e-002
-4.187500000000e-009,-3.56250e-002
-4.171875000000e-009,-3.65234e-002
-4.156250000000e-009,-3.73437e-002
-4.140625000000e-009,-3.81641e-002
-4.125000000000e-009,-3.89453e-002
-4.109375000000e-009,-3.96875e-002
-4.093750000000e-009,-4.03906e-002
-4.078125000000e-009,-4.10547e-002
-4.062500000000e-009,-4.16797e-002
-4.046875000000e-009,-4.22266e-002
-4.031250000000e-009,-4.27734e-002
-4.015625000000e-009,-4.32812e-002
-4.000000000000e-009,-4.36719e-002
-3.984375000000e-009,-4.40625e-002
-3.968750000000e-009,-4.44531e-002
-3.953125000000e-009,-4.46875e-002
-3.937500000000e-009,-4.49609e-002
-3.921875000000e-009,-4.51562e-002
-3.906250000000e-009,-4.52734e-002
-3.890625000000e-009,-4.53906e-002
-3.875000000000e-009,-4.53906e-002
-3.859375000000e-009,-4.53906e-002
-3.843750000000e-009,-4.53516e-002
-3.828125000000e-009,-4.51953e-002
-3.812500000000e-009,-4.50391e-002
-3.796875000000e-009,-4.48437e-002
-3.781250000000e-009,-4.46094e-002
-3.765625000000e-009,-4.42969e-002
-3.750000000000e-009,-4.39844e-002
-3.734375000000e-009,-4.35937e-002
-3.718750000000e-009,-4.32422e-002
-3.703125000000e-009,-4.27734e-002
-3.687500000000e-009,-4.23438e-002
-3.671875000000e-009,-4.18750e-002
-3.656250000000e-009,-4.13281e-002
-3.640625000000e-009,-4.08203e-002
-3.625000000000e-009,-4.02344e-002
-3.609375000000e-009,-3.96484e-002
-3.593750000000e-009,-3.90234e-002
-3.578125000000e-009,-3.83984e-002
-3.562500000000e-009,-3.77344e-002
-3.546875000000e-009,-3.69922e-002
-3.531250000000e-009,-3.62500e-002
-3.515625000000e-009,-3.54687e-002
-3.500000000000e-009,-3.46484e-002
-3.484375000000e-009,-3.38281e-002
-3.468750000000e-009,-3.29297e-002
-3.453125000000e-009,-3.20312e-002
-3.437500000000e-009,-3.10938e-002
-3.421875000000e-009,-3.01172e-002
-3.406250000000e-009,-2.91016e-002
-3.390625000000e-009,-2.80469e-002
-3.375000000000e-009,-2.69922e-002
-3.359375000000e-009,-2.58594e-002
-3.343750000000e-009,-2.47266e-002
-3.328125000000e-009,-2.35937e-002
-3.312500000000e-009,-2.23828e-002
-3.296875000000e-009,-2.11719e-002
-3.281250000000e-009,-1.99219e-002
-3.265625000000e-009,-1.86719e-002
-3.250000000000e-009,-1.74219e-002
-3.234375000000e-009,-1.61328e-002
-3.218750000000e-009,-1.48047e-002
-3.203125000000e-009,-1.35156e-002
-3.187500000000e-009,-1.21875e-002
-3.171875000000e-009,-1.08203e-002
-3.156250000000e-009,-9.49219e-003
-3.140625000000e-009,-8.12500e-003
-3.125000000000e-009,-6.75781e-003
