x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.02000E-09,+12.45188321918E-03,-702.92889141E-06,+16.15230174037E-03,-6.55230145203E-03,+11.75781250000E-03,+9.55078125000E-03
-5.00438E-09,+11.61506311037E-03,-284.51883700E-06,+15.39916364243E-03,-6.76150647923E-03,+11.26953125000E-03,+8.57421875000E-03
-4.98875E-09,+10.77824300155E-03,+103.76569349E-06,+14.61590002058E-03,-6.97071150644E-03,+10.85156250000E-03,+7.59765625000E-03
-4.97313E-09,+9.91129736882E-03,+510.46026638E-06,+13.82092091721E-03,-7.14979100972E-03,+10.39062500000E-03,+6.62109375000E-03
-4.95750E-09,+9.06276177848E-03,+928.87032079E-06,+13.02594181383E-03,-7.31715503149E-03,+9.97265625000E-03,+5.64453125000E-03
-4.94188E-09,+8.19581614574E-03,+1.34728037519E-03,+12.20083718654E-03,-7.51464457717E-03,+9.51171875000E-03,+4.59765625000E-03
-4.92625E-09,+7.28702950757E-03,+1.73556490568E-03,+11.36401707772E-03,-7.66359855654E-03,+8.95312500000E-03,+3.66406250000E-03
-4.91063E-09,+6.39665291179E-03,+2.14225947857E-03,+10.52719696891E-03,-7.81924709678E-03,+8.50781250000E-03,+2.64453125000E-03
-4.89500E-09,+5.51799179753E-03,+2.56066953298E-03,+9.69037686009E-03,-7.95648559462E-03,+8.04687500000E-03,+1.64062500000E-03
-4.87938E-09,+4.66945620719E-03,+2.97907958739E-03,+8.82343122736E-03,-8.11213413486E-03,+7.62890625000E-03,+664.06250000E-06
-4.86375E-09,+3.80251057446E-03,+3.39748964179E-03,+7.94477011310E-03,-8.24937263271E-03,+7.16796875000E-03,-312.50000000E-06
-4.84813E-09,+2.95397498412E-03,+3.81589969620E-03,+7.06610899884E-03,-8.37489564903E-03,+6.75000000000E-03,-1.35937500000E-03
-4.83250E-09,+2.11715487530E-03,+4.23430975061E-03,+6.21757340850E-03,-8.47029314144E-03,+6.28906250000E-03,-2.29296875000E-03
-4.81688E-09,+1.31046029041E-03,+4.62259428110E-03,+5.35062777577E-03,-8.58410067623E-03,+5.87109375000E-03,-3.24218750000E-03
-4.80125E-09,+485.35566311E-06,+4.99916333007E-03,+4.47196666151E-03,-8.67949816864E-03,+5.41015625000E-03,-4.21875000000E-03
-4.78562E-09,-321.33892179E-06,+5.40585790295E-03,+3.62343107117E-03,-8.76318017952E-03,+4.99218750000E-03,-5.19531250000E-03
-4.77000E-09,-1.11631802516E-03,+5.79414243344E-03,+2.81673648627E-03,-8.84686219040E-03,+4.60156250000E-03,-6.10156250000E-03
-4.75437E-09,-1.91129712854E-03,+6.17071148241E-03,+1.99163185898E-03,-8.93054420128E-03,+4.21093750000E-03,-6.98046875000E-03
-4.73875E-09,-2.70627623191E-03,+6.51715500746E-03,+1.18493727408E-03,-8.98410068825E-03,+3.75000000000E-03,-7.85937500000E-03
-4.72312E-09,-3.53138085920E-03,+6.88200857490E-03,+420.08369463E-06,-9.05606721761E-03,+3.26171875000E-03,-8.66796875000E-03
-4.70750E-09,-4.33807544410E-03,+7.25857762387E-03,-333.05440331E-06,-9.10962370457E-03,+2.84375000000E-03,-9.44921875000E-03
-4.69187E-09,-5.19330559531E-03,+7.60502114892E-03,-1.11631802516E-03,-9.15146471001E-03,+2.38281250000E-03,-10.30078125000E-03
-4.67625E-09,-6.04184118565E-03,+7.96987471636E-03,-1.88117160462E-03,-9.19330571545E-03,+1.89453125000E-03,-11.10937500000E-03
-4.66062E-09,-6.90878681839E-03,+8.31631824141E-03,-2.63430970255E-03,-9.20502119698E-03,+1.33593750000E-03,-11.89062500000E-03
-4.64500E-09,-7.78744793264E-03,+8.68117180886E-03,-3.38744780049E-03,-9.20502119698E-03,+820.31250000E-06,-12.67187500000E-03
-4.62937E-09,-8.66610904690E-03,+9.02761533391E-03,-4.14058589842E-03,-9.20502119698E-03,+332.03125000E-06,-13.38281250000E-03
-4.61375E-09,-9.54477016116E-03,+9.36234337743E-03,-4.92384952027E-03,-9.20502119698E-03,-226.56250000E-06,-14.13671875000E-03
-4.59812E-09,-10.42343127541E-03,+9.69707142096E-03,-5.68870309973E-03,-9.17489567306E-03,-742.18750000E-06,-14.91796875000E-03
