x-axis,MATH1
second,Volt
-5.000000000000e-009, 1.10352e-002
-4.984375000000e-009, 9.96094e-003
-4.968750000000e-009, 8.78906e-003
-4.953125000000e-009, 7.61719e-003
-4.937500000000e-009, 6.44531e-003
-4.921875000000e-009, 5.17578e-003
-4.906250000000e-009, 4.00391e-003
-4.890625000000e-009, 2.83203e-003
-4.875000000000e-009, 1.66016e-003
-4.859375000000e-009, 5.85938e-004
-4.843750000000e-009,-5.85938e-004
-4.828125000000e-009,-1.75781e-003
-4.812500000000e-009,-2.83203e-003
-4.796875000000e-009,-3.90625e-003
-4.781250000000e-009,-4.98047e-003
-4.765625000000e-009,-6.05469e-003
-4.750000000000e-009,-7.12891e-003
-4.734375000000e-009,-8.20313e-003
-4.718750000000e-009,-9.27734e-003
-4.703125000000e-009,-1.03516e-002
-4.687500000000e-009,-1.14258e-002
-4.671875000000e-009,-1.25977e-002
-4.656250000000e-009,-1.36719e-002
-4.640625000000e-009,-1.47461e-002
-4.625000000000e-009,-1.58203e-002
-4.609375000000e-009,-1.69922e-002
-4.593750000000e-009,-1.80664e-002
-4.578125000000e-009,-1.91406e-002
-4.562500000000e-009,-2.02148e-002
-4.546875000000e-009,-2.12891e-002
-4.531250000000e-009,-2.22656e-002
-4.515625000000e-009,-2.33398e-002
-4.500000000000e-009,-2.43164e-002
-4.484375000000e-009,-2.53906e-002
-4.468750000000e-009,-2.63672e-002
-4.453125000000e-009,-2.72461e-002
-4.437500000000e-009,-2.82227e-002
-4.421875000000e-009,-2.91016e-002
-4.406250000000e-009,-2.99805e-002
-4.390625000000e-009,-3.07617e-002
-4.375000000000e-009,-3.16406e-002
-4.359375000000e-009,-3.24219e-002
-4.343750000000e-009,-3.32031e-002
-4.328125000000e-009,-3.38867e-002
-4.312500000000e-009,-3.45703e-002
-4.296875000000e-009,-3.52539e-002
-4.281250000000e-009,-3.58398e-002
-4.265625000000e-009,-3.64258e-002
-4.250000000000e-009,-3.69141e-002
-4.234375000000e-009,-3.74023e-002
-4.218750000000e-009,-3.78906e-002
-4.203125000000e-009,-3.82813e-002
-4.187500000000e-009,-3.86719e-002
-4.171875000000e-009,-3.89648e-002
-4.156250000000e-009,-3.92578e-002
-4.140625000000e-009,-3.95508e-002
-4.125000000000e-009,-3.97461e-002
-4.109375000000e-009,-3.99414e-002
-4.093750000000e-009,-4.01367e-002
-4.078125000000e-009,-4.03320e-002
-4.062500000000e-009,-4.04297e-002
-4.046875000000e-009,-4.05273e-002
-4.031250000000e-009,-4.06250e-002
-4.015625000000e-009,-4.07227e-002
-4.000000000000e-009,-4.07227e-002
-3.984375000000e-009,-4.06250e-002
-3.968750000000e-009,-4.05273e-002
-3.953125000000e-009,-4.04297e-002
-3.937500000000e-009,-4.02344e-002
-3.921875000000e-009,-4.00391e-002
-3.906250000000e-009,-3.97461e-002
-3.890625000000e-009,-3.93555e-002
-3.875000000000e-009,-3.90625e-002
-3.859375000000e-009,-3.86719e-002
-3.843750000000e-009,-3.81836e-002
-3.828125000000e-009,-3.77930e-002
-3.812500000000e-009,-3.72070e-002
-3.796875000000e-009,-3.67188e-002
-3.781250000000e-009,-3.61328e-002
-3.765625000000e-009,-3.55469e-002
-3.750000000000e-009,-3.48633e-002
-3.734375000000e-009,-3.42773e-002
-3.718750000000e-009,-3.35938e-002
-3.703125000000e-009,-3.28125e-002
-3.687500000000e-009,-3.20312e-002
-3.671875000000e-009,-3.11523e-002
-3.656250000000e-009,-3.03711e-002
-3.640625000000e-009,-2.94922e-002
-3.625000000000e-009,-2.85156e-002
-3.609375000000e-009,-2.75391e-002
-3.593750000000e-009,-2.66602e-002
-3.578125000000e-009,-2.55859e-002
-3.562500000000e-009,-2.46094e-002
-3.546875000000e-009,-2.35352e-002
-3.531250000000e-009,-2.24609e-002
-3.515625000000e-009,-2.13867e-002
-3.500000000000e-009,-2.04102e-002
-3.484375000000e-009,-1.92383e-002
-3.468750000000e-009,-1.81641e-002
-3.453125000000e-009,-1.69922e-002
-3.437500000000e-009,-1.58203e-002
-3.421875000000e-009,-1.46484e-002
-3.406250000000e-009,-1.34766e-002
-3.390625000000e-009,-1.23047e-002
-3.375000000000e-009,-1.11328e-002
-3.359375000000e-009,-9.96094e-003
-3.343750000000e-009,-8.78906e-003
-3.328125000000e-009,-7.51953e-003
-3.312500000000e-009,-6.25000e-003
-3.296875000000e-009,-5.07813e-003
-3.281250000000e-009,-3.80859e-003
-3.265625000000e-009,-2.63672e-003
-3.250000000000e-009,-1.46484e-003
-3.234375000000e-009,-1.95313e-004
-3.218750000000e-009, 8.78906e-004
-3.203125000000e-009, 2.14844e-003
-3.187500000000e-009, 3.22266e-003
-3.171875000000e-009, 4.39453e-003
-3.156250000000e-009, 5.46875e-003
-3.140625000000e-009, 6.64063e-003
-3.125000000000e-009, 7.71484e-003
-3.109375000000e-009, 8.78906e-003
-3.093750000000e-009, 9.86328e-003
-3.078125000000e-009, 1.09375e-002
-3.062500000000e-009, 1.20117e-002
-3.046875000000e-009, 1.30859e-002
-3.031250000000e-009, 1.41602e-002
-3.015625000000e-009, 1.52344e-002
-3.000000000000e-009, 1.63086e-002
-2.984375000000e-009, 1.72852e-002
-2.968750000000e-009, 1.82617e-002
-2.953125000000e-009, 1.93359e-002
-2.937500000000e-009, 2.03125e-002
-2.921875000000e-009, 2.12891e-002
-2.906250000000e-009, 2.22656e-002
-2.890625000000e-009, 2.32422e-002
-2.875000000000e-009, 2.42188e-002
-2.859375000000e-009, 2.50977e-002
-2.843750000000e-009, 2.59766e-002
-2.828125000000e-009, 2.69531e-002
-2.812500000000e-009, 2.78320e-002
-2.796875000000e-009, 2.87109e-002
-2.781250000000e-009, 2.94922e-002
-2.765625000000e-009, 3.03711e-002
-2.750000000000e-009, 3.11523e-002
-2.734375000000e-009, 3.18359e-002
-2.718750000000e-009, 3.25195e-002
-2.703125000000e-009, 3.32031e-002
-2.687500000000e-009, 3.37891e-002
-2.671875000000e-009, 3.42773e-002
-2.656250000000e-009, 3.47656e-002
-2.640625000000e-009, 3.53516e-002
-2.625000000000e-009, 3.57422e-002
-2.609375000000e-009, 3.61328e-002
-2.593750000000e-009, 3.65234e-002
-2.578125000000e-009, 3.68164e-002
-2.562500000000e-009, 3.71094e-002
-2.546875000000e-009, 3.74023e-002
-2.531250000000e-009, 3.75977e-002
-2.515625000000e-009, 3.77930e-002
-2.500000000000e-009, 3.79883e-002
-2.484375000000e-009, 3.80859e-002
-2.468750000000e-009, 3.82813e-002
-2.453125000000e-009, 3.82813e-002
-2.437500000000e-009, 3.82813e-002
-2.421875000000e-009, 3.82813e-002
-2.406250000000e-009, 3.82813e-002
-2.390625000000e-009, 3.80859e-002
-2.375000000000e-009, 3.79883e-002
-2.359375000000e-009, 3.77930e-002
-2.343750000000e-009, 3.75977e-002
-2.328125000000e-009, 3.74023e-002
-2.312500000000e-009, 3.71094e-002
-2.296875000000e-009, 3.67188e-002
-2.281250000000e-009, 3.64258e-002
-2.265625000000e-009, 3.59375e-002
-2.250000000000e-009, 3.55469e-002
-2.234375000000e-009, 3.50586e-002
-2.218750000000e-009, 3.44727e-002
-2.203125000000e-009, 3.39844e-002
-2.187500000000e-009, 3.33984e-002
-2.171875000000e-009, 3.28125e-002
-2.156250000000e-009, 3.21289e-002
-2.140625000000e-009, 3.14453e-002
-2.125000000000e-009, 3.07617e-002
-2.109375000000e-009, 2.99805e-002
-2.093750000000e-009, 2.91992e-002
-2.078125000000e-009, 2.84180e-002
