x-axis,1,2
second,Volt,Volt
-25.00000E-09,+7.02928891405E-03,+27.44769956917E-03
-24.92188E-09,+7.86610902287E-03,+28.41004269430E-03
-24.84375E-09,+8.45188309904E-03,+28.57740671607E-03
-24.76563E-09,+8.78661114257E-03,+27.90795062901E-03
-24.68750E-09,+8.95397516433E-03,+26.35983342770E-03
-24.60938E-09,+8.82845214801E-03,+24.18410114478E-03
-24.53125E-09,+8.49372410448E-03,+21.54811780201E-03
-24.45313E-09,+8.07531405007E-03,+18.45188339939E-03
-24.37500E-09,+7.48953997390E-03,+14.76987492060E-03
-24.29688E-09,+6.77824288141E-03,+10.79497940373E-03
-24.21875E-09,+5.89958176715E-03,+6.65271986509E-03
-24.14063E-09,+4.85355663113E-03,+2.30125529924E-03
-24.06250E-09,+3.72384948423E-03,-1.96652725572E-03
-23.98438E-09,+2.46861932101E-03,-6.27615081612E-03
-23.90625E-09,+1.12970714690E-03,-10.41841035476E-03
-23.82813E-09,-334.72804353E-06,-14.18410084443E-03
-23.75000E-09,-1.88284524484E-03,-17.65690429602E-03
-23.67188E-09,-3.51464445703E-03,-20.96234372584E-03
-23.59375E-09,-5.06276165834E-03,-23.76569109037E-03
-23.51563E-09,-6.52719684876E-03,-25.98326437874E-03
-23.43750E-09,-7.74058600655E-03,-27.74058660725E-03
-23.35938E-09,-8.61924712080E-03,-28.87029375415E-03
-23.28125E-09,-9.20502119698E-03,-29.16318079224E-03
-23.20313E-09,-9.62343125138E-03,-28.74477073783E-03
-23.12500E-09,-9.91631828947E-03,-27.57322258549E-03
-23.04688E-09,-10.08368231123E-03,-25.81590035697E-03
-22.96875E-09,-9.95815929491E-03,-23.59832706861E-03
-22.89063E-09,-9.53974924050E-03,-20.83682070952E-03
-22.81250E-09,-8.87029315345E-03,-17.53138127970E-03
-22.73438E-09,-8.07531405007E-03,-13.76569079002E-03
-22.65625E-09,-7.28033494670E-03,-9.62343125139E-03
-22.57813E-09,-6.40167383244E-03,-5.14644366922E-03
-22.50000E-09,-5.43933070730E-03,-794.97910338E-06
-22.42188E-09,-4.30962356040E-03,+3.26359842438E-03
-22.34375E-09,-2.92887038086E-03,+7.40585796302E-03
-22.26563E-09,-1.29707116867E-03,+11.58995850710E-03
-22.18750E-09,+376.56904897E-06,+15.56485402398E-03
-22.10938E-09,+2.05020926660E-03,+19.12133948645E-03
-22.03125E-09,+3.68200847879E-03,+22.09205087274E-03
-21.95313E-09,+5.10460266378E-03,+24.51882918831E-03
-21.87500E-09,+6.35983282700E-03,+26.52719744947E-03
